ID	HPO_Terms	Diagnostic_Genes
UDN210271	HP:0030319; HP:0031880; HP:0003323; HP:0003560; HP:0003691	ANXA11
UDN316377	HP:0004213; HP:0004219; HP:0005781; HP:0005918; HP:0002750; HP:0002870; HP:0008929; HP:0001270; HP:0012770; HP:0000211; HP:0000220; HP:0000311; HP:0001156	FBN2
UDN483323	HP:0006772; HP:0011003; HP:0001373; HP:0001382; HP:0005266; HP:0030127; HP:0030839; HP:0100013; HP:0100031; HP:0001634; HP:0001875; HP:0000822; HP:0000939; HP:0002650; HP:0002757	PKD1
UDN272935	HP:0000684; HP:0000932; HP:0006829; HP:0006989; HP:0007010; HP:0007068; HP:0007759; HP:0008070; HP:0009911; HP:0010444; HP:0010761; HP:0010941; HP:0011220; HP:0011712; HP:0012715; HP:0030125; HP:0040107; HP:0100543; HP:0100853; HP:0001627; HP:0001631; HP:0001642; HP:0001659; HP:0001669; HP:0001738; HP:0002020; HP:0002023; HP:0002937; HP:0004415; HP:0005164; HP:0005461; HP:0006292; HP:0006380; HP:0002143; HP:0002144; HP:0002194; HP:0002557; HP:0002650; HP:0002705; HP:0000077; HP:0000085; HP:0000252; HP:0000359; HP:0000369; HP:0000430; HP:0000501; HP:0001263; HP:0001305; HP:0001320	CAPN15
UDN292069	HP:0002194; HP:0002515; HP:0012450; HP:0032152; HP:0010862; HP:0001649; HP:0001763; HP:0001845; HP:0001028; HP:0001212; HP:0100807; HP:0002938; HP:0003199; HP:0003234; HP:0003691; HP:0003701; HP:0004322; HP:0004325; HP:0004482; HP:0006380; HP:0001290; HP:0001510; HP:0001531	MAP2K1
UDN172962	HP:0000252; HP:0000272; HP:0000297; HP:0000322; HP:0000347; HP:0000408; HP:0000463; HP:0000529; HP:0000540; HP:0003159; HP:0004463; HP:0005476; HP:0001653; HP:0001763; HP:0001290; HP:0002761; HP:0012450; HP:0012745; HP:0040049; HP:0000577; HP:0000580; HP:0000609; HP:0000678; HP:0000954; HP:0000960; HP:0000977; HP:0007015; HP:0007675; HP:0008028; HP:0009088; HP:0010485; HP:0010544; HP:0010571	PEX1
UDN705317	HP:0002591; HP:0002870; HP:0001639; HP:0001642; HP:0001662; HP:0001741; HP:0001763; HP:0001903; HP:0002020; HP:0002076; HP:0002099; HP:0003154; HP:0003155; HP:0003265; HP:0004324; HP:0005616; HP:0012030; HP:0000718; HP:0000842; HP:0000855; HP:0000956; HP:0001263; HP:0001513; HP:0001548; HP:0000098; HP:0000103; HP:0000256; HP:0007018; HP:0007874; HP:0010609	GNAS
UDN147107	HP:0001263; HP:0001510; HP:0001762; HP:0001776; HP:0002186; HP:0002677; HP:0002679; HP:0002693; HP:0007082; HP:0007911; HP:0007971; HP:0008445; HP:0008619; HP:0009118; HP:0009843; HP:0009882; HP:0011098; HP:0011220; HP:0011379; HP:0011383; HP:0000327; HP:0000375; HP:0004322; HP:0004458; HP:0004482; HP:0000592; HP:0000824; HP:0001043	COG4
UDN633333	HP:0002204; HP:0002273; HP:0002540; HP:0002650; HP:0002747; HP:0025230; HP:0002091; HP:0007133; HP:0009830; HP:0010547; HP:0001270; HP:0001324	MFN2
UDN878249	HP:0000253; HP:0000486; HP:0001252; HP:0001263; HP:0001531; HP:0000729; HP:0000736; HP:0001249; HP:0003763; HP:0002070; HP:0002078; HP:0002835	STXBP1
UDN672526	HP:0007886; HP:0033725; HP:0100704; HP:0002944; HP:0000252; HP:0001250; HP:0001252; HP:0001344; HP:0000615; HP:0001249	WWOX
UDN991388	HP:0001324; HP:0002861; HP:0003198; HP:0003365; HP:0003560; HP:0003805; HP:0002015; HP:0033710	VCP
UDN955025	HP:0001250; HP:0001252; HP:0001263; HP:0001508; HP:0006919; HP:0007018; HP:0010529; HP:0004322; HP:0000252; HP:0002384; HP:0002616; HP:0002808; HP:0000717; HP:0000729; HP:0002020; HP:0002099; HP:0012444	NSD2
UDN670834	HP:0000218; HP:0000252; HP:0000286; HP:0000316; HP:0000322; HP:0000378; HP:0000403; HP:0000431; HP:0000455; HP:0000483; HP:0000486; HP:0002948; HP:0004322; HP:0005107; HP:0000565; HP:0000582; HP:0000733; HP:0000902; HP:0001263; HP:0001290; HP:0001344; HP:0001508; HP:0001566; HP:0011800; HP:0012471; HP:0025325; HP:0030746; HP:0002307; HP:0002540; HP:0002553; HP:0002557; HP:0002575; HP:0002673; HP:0002020; HP:0100716; HP:0009890; HP:0010804; HP:0011003	TCF4
UDN759063	HP:0001290; HP:0001347; HP:0000717; HP:0000733; HP:0000752; HP:0007010; HP:0007328; HP:0010529; HP:0010818; HP:0010845; HP:0200134; HP:0025502; HP:0004324; HP:0004370; HP:0002019; HP:0002020; HP:0002069; HP:0002123; HP:0002141; HP:0002197; HP:0002311; HP:0002342; HP:0002376; HP:0002463	PPP3CA
UDN132664	HP:0000565; HP:0000587; HP:0000684; HP:0001829; HP:0002015; HP:0002020; HP:0002118; HP:0002119; HP:0002363; HP:0002365; HP:0002500; HP:0002566; HP:0002650; HP:0100659; HP:0012703; HP:0012766; HP:0007074; HP:0007103; HP:0011220; HP:0001273; HP:0001290; HP:0001317; HP:0001320; HP:0001342; HP:0000164; HP:0000324; HP:0000347; HP:0000365; HP:0000490; HP:0004322	SPEN
UDN770916	HP:0001250; HP:0001263; HP:0001288; HP:0002167; HP:0002322; HP:0000545; HP:0000574; HP:0000664; HP:0000821; HP:0000832; HP:0001123; HP:0001249; HP:0001629; HP:0001763; HP:0002013; HP:0002059; HP:0002099; HP:0002119; HP:0500041; HP:0007018; HP:0000047; HP:0000122; HP:0000490	SON
UDN944787	HP:0012471; HP:0012505; HP:0012506; HP:0012680; HP:0012705; HP:0012765; HP:0030001; HP:0100006; HP:0001642; HP:0001738; HP:0001762; HP:0001773; HP:0002072; HP:0002118; HP:0002119; HP:0002120; HP:0002987; HP:0003429; HP:0004279; HP:0004322; HP:0004374; HP:0005684; HP:0000252; HP:0000272; HP:0000293; HP:0000377; HP:0000407; HP:0000481; HP:0000819; HP:0007266; HP:0007305; HP:0010669; HP:0001251; HP:0001332; HP:0100659; HP:0100835; HP:0100836; HP:0100951; HP:0100952; HP:0200055; HP:0002170; HP:0002188; HP:0002269; HP:0002280; HP:0002500; HP:0002514; HP:0002538; HP:0002804	LZTR1
UDN508177	HP:0002014; HP:0002024; HP:0002028; HP:0002041; HP:0100702; HP:0001274	ARX
UDN756970	HP:0000648; HP:0001250; HP:0012708; HP:0025353; HP:0002315; HP:0002572; HP:0001257; HP:0001263; HP:0001583; HP:0000252; HP:0000529; HP:0000545; HP:0003750; HP:0007843; HP:0010566; HP:0011204; HP:0011448	NTRK2
UDN813763	HP:0012704; HP:0012745; HP:0002007; HP:0001263; HP:0001508; HP:0003097; HP:0003177; HP:0003394; HP:0004209; HP:0004322; HP:0005121; HP:0005461; HP:0005792; HP:0002677; HP:0002870; HP:0007598; HP:0010049; HP:0010743; HP:0000220; HP:0000272; HP:0000286; HP:0000483	POC1A; SCN4A
UDN772617	HP:0009765; HP:0010864; HP:0001319; HP:0001344; HP:0001385; HP:0000545; HP:0000687; HP:0000717; HP:0001028; HP:0001047; HP:0004209; HP:0005164; HP:0002171; HP:0002373; HP:0011968; HP:0012171; HP:0012225; HP:0012802; HP:0000175; HP:0000303; HP:0000319; HP:0000322; HP:0000430; HP:0000486; HP:0001891; HP:0002066	WDR26
UDN298509	HP:0033454; HP:0002307; HP:0002509; HP:0000565; HP:0000582; HP:0000601; HP:0000639; HP:0000957; HP:0001138; HP:0000164; HP:0000219; HP:0000252; HP:0000319; HP:0000337; HP:0000411; HP:0010319; HP:0001250; HP:0001263; HP:0001290; HP:0001999; HP:0002126; HP:0100704	POLR3A
UDN316204	HP:0000989; HP:0009073; HP:0001290; HP:0001324; HP:0001433	PDHA1
UDN299292	HP:0001250; HP:0001263; HP:0001344; HP:0001382; HP:0000717; HP:0000957; HP:0001249; HP:0001773; HP:0200055; HP:0200134; HP:0000218; HP:0000527; HP:0012469; HP:0032561	CDKL5
UDN457849	HP:0007099; HP:0000666; HP:0000750; HP:0000194; HP:0000256; HP:0000286; HP:0000325; HP:0000369; HP:0000431; HP:0002007; HP:0002067; HP:0002080; HP:0002136; HP:0001263; HP:0001276; HP:0001290; HP:0001332; HP:0001337; HP:0001348; HP:0025372; HP:0002307; HP:0002322; HP:0002506; HP:0002548; HP:0003199; HP:0003763; HP:0004305; HP:0004325	WARS2
UDN134378	HP:0001251; HP:0001263; HP:0001337; HP:0001156; HP:0002121; HP:0030084	STXBP1
UDN321647	HP:0000343; HP:0000368; HP:0000414; HP:0000463; HP:0003196; HP:0001252; HP:0001263; HP:0001344; HP:0001382; HP:0045075; HP:0002378; HP:0002518; HP:0000577; HP:0000629; HP:0000973; HP:0006895; HP:0007074; HP:0007687; HP:0008544	ZNF865
UDN372273	HP:0001288; HP:0001388; HP:0001430; HP:0006802; HP:0007002; HP:0008936; HP:0008959; HP:0009053; HP:0010665; HP:0011203; HP:0003307; HP:0001250; HP:0001760; HP:0001773; HP:0002077; HP:0100512	IGHMBP2
UDN762249	HP:0002144; HP:0002191; HP:0002376; HP:0001260; HP:0001264; HP:0001332; HP:0001508; HP:0000750; HP:0002015	XPNPEP3
UDN595429	HP:0001627; HP:0001629; HP:0001655; HP:0000135; HP:0000202; HP:0002363; HP:0002365; HP:0012020; HP:0031014; HP:0100952; HP:0001263; HP:0001317; HP:0001320; HP:0000587; HP:0001249; HP:0008527; HP:0008689	CHD7
UDN915723	HP:0002174; HP:0002353; HP:0002406; HP:0002495; HP:0001250; HP:0030186; HP:0001265; HP:0001271; HP:0001336; HP:0006554; HP:0007302; HP:0010831; HP:0010871	POLG
UDN160738	HP:0000618; HP:0000639; HP:0000717; HP:0000486; HP:0002360; HP:0001250; HP:0001508; HP:0100559; HP:0100580; HP:0004322	RNU4-2
UDN541836	HP:0100559; HP:0200055; HP:0000609; HP:0000883; HP:0000938; HP:0000954; HP:0001239; HP:0002194; HP:0002213; HP:0002650; HP:0002652; HP:0002673; HP:0002850; HP:0000023; HP:0000193; HP:0000217; HP:0000218; HP:0000252; HP:0000322; HP:0000347; HP:0000358; HP:0000369; HP:0000402; HP:0001653; HP:0001763; HP:0001773; HP:0002007; HP:0002019; HP:0002136; HP:0002967; HP:0003083; HP:0003510; HP:0003763; HP:0003799; HP:0003988; HP:0004209; HP:0004279; HP:0004315; HP:0004322; HP:0004325; HP:0004411; HP:0004691; HP:0006443; HP:0001290; HP:0001371; HP:0001377; HP:0001382; HP:0011800; HP:0011819; HP:0012176; HP:0012433; HP:0012453; HP:0012506; HP:0012745; HP:0012773; HP:0030043; HP:0040111; HP:0100023; HP:0100360; HP:0008138; HP:0008365; HP:0008421; HP:0008551; HP:0008598; HP:0009193; HP:0009247; HP:0009370; HP:0009500; HP:0009884; HP:0010358; HP:0010370; HP:0010382; HP:0010394; HP:0010862; HP:0011204; HP:0011220; HP:0011267	DONSON
UDN565200	HP:0000023; HP:0000256; HP:0000316; HP:0000368; HP:0000403; HP:0000431; HP:0000501; HP:0000520; HP:0002664; HP:0002716; HP:0000587; HP:0000646; HP:0000718; HP:0000752; HP:0000767; HP:0001067; HP:0001250; HP:0007565; HP:0008947; HP:0009732; HP:0009734; HP:0002007; HP:0002069; HP:0002099; HP:0001263; HP:0001270; HP:0001548; HP:0200034; HP:0012741	NF1
UDN535121	HP:0000286; HP:0000316; HP:0000347; HP:0012430; HP:0030095; HP:0001263; HP:0001290; HP:0004322; HP:0002804; HP:0002835; HP:0001776	ZC4H2
UDN052633	HP:0004209; HP:0004691; HP:0006097; HP:0001763; HP:0001795; HP:0001852; HP:0002007; HP:0000687; HP:0001162; HP:0012450; HP:0045075; HP:0007911; HP:0008070; HP:0009835; HP:0010296; HP:0001252; HP:0001263; HP:0001344; HP:0000126; HP:0000154; HP:0000218; HP:0000289; HP:0000303; HP:0000316; HP:0000341; HP:0000358; HP:0000414; HP:0000506	MED12
UDN074081	HP:0001994; HP:0002076; HP:0000613; HP:0000822; HP:0000859; HP:0000938; HP:0001065; HP:0002909; HP:0003155; HP:0003358; HP:0003648; HP:0004411; HP:0004912; HP:0005952; HP:0005979; HP:0002650; HP:0002788; HP:0002829; HP:0002857; HP:0012071; HP:0012173; HP:0012432; HP:0012596; HP:0012625; HP:0031031; HP:0040218; HP:0006649; HP:0008944; HP:0010838; HP:0010967; HP:0011227	GATM
UDN853355	HP:0002870; HP:0002886; HP:0100635; HP:0100785; HP:0410014; HP:0000716; HP:0000875; HP:0001250; HP:0012276; HP:0012332; HP:0012669; HP:0001605; HP:0001649; HP:0002020; HP:0002083; HP:0003124	SDHD
UDN472346	HP:0000483; HP:0002019; HP:0000855; HP:0001252; HP:0001270; HP:0001513; HP:0001548; HP:0012683	STX16
UDN710245	HP:0001252; HP:0001263; HP:0001265; HP:0001344; HP:0012378; HP:0012762; HP:0008872; HP:0010292; HP:0010307; HP:0010804; HP:0000565; HP:0001250; HP:0002518; HP:0002020; HP:0002079; HP:0002119; HP:0000218; HP:0000280; HP:0000341; HP:0000426; HP:0000473; HP:0000508; HP:0004938	TBCK
UDN093501	HP:0003048; HP:0003189; HP:0005021; HP:0000545; HP:0000369; HP:0000378; HP:0000483; HP:0000508; HP:0001776; HP:0002076; HP:0200055; HP:6000029; HP:0001328	PLXNA1
UDN338723	HP:0004482; HP:0004912; HP:0001763; HP:0001901; HP:0002049; HP:0002107; HP:0002108; HP:0000678; HP:0000767; HP:0001065; HP:0001166; HP:0002148; HP:0002616; HP:0002650; HP:0012625; HP:0008080; HP:0000023; HP:0000121; HP:0000256; HP:0000268; HP:0000272; HP:0000396; HP:0000426; HP:0000490; HP:0000494; HP:0001382	FBN1
UDN878813	HP:0000678; HP:0000691; HP:0000772; HP:0000826; HP:0000858; HP:0001093; HP:0001220; HP:0000158; HP:0000280; HP:0000369; HP:0000407; HP:0000455; HP:0000484; HP:0000531; HP:0002360; HP:0002650; HP:0002870; HP:0007340; HP:0008059; HP:0009916; HP:0009937; HP:0100759; HP:0100874; HP:0001634; HP:0001650; HP:0001659; HP:0001763; HP:0001765; HP:0001771; HP:0001260; HP:0001263; HP:0001328; HP:0001371; HP:0001482; HP:0002944; HP:0004322; HP:0004970; HP:0005176; HP:0005280; HP:0005306; HP:0012841; HP:0025312; HP:0031664; HP:0045059	SLC17A5
UDN644400	HP:0002069; HP:0000750; HP:0001250	FGF12
UDN948592	HP:0000293; HP:0001946; HP:0002007; HP:0002019; HP:0011471; HP:0012523; HP:0012734; HP:0030148	ACADM
UDN928634	HP:0005490; HP:0000635; HP:0000485; HP:0007266; HP:0001250; HP:0000256; HP:0002058; HP:0011344; HP:0000199; HP:0012741; HP:0002902; HP:0000494; HP:0000639; HP:0011276; HP:0001290	ZNF331
UDN128588	HP:0004322; HP:0004374; HP:0004392; HP:0004406; HP:0005297; HP:0001260; HP:0001297; HP:0001508; HP:0100512; HP:0100807; HP:0000822; HP:0001187; HP:0000010; HP:0000029; HP:0000126; HP:0000135; HP:0008689; HP:0010450; HP:0001876; HP:0001903; HP:0001971; HP:0002067; HP:0002240; HP:0002509; HP:0002579; HP:0002650; HP:0012622; HP:0025156	MIR145
UDN254612	HP:0002307; HP:0002376; HP:0002500; HP:0002538; HP:0002540; HP:0002644; HP:0002650; HP:0000574; HP:0000637; HP:0000664; HP:0001007; HP:0001061; HP:0001250; HP:0003182; HP:0004279; HP:0004322; HP:0004325; HP:0006466; HP:0006532; HP:0012171; HP:0012399; HP:0012412; HP:0012446; HP:0012471; HP:0012703; HP:0012705; HP:0012706; HP:0012708; HP:0012725; HP:0012736; HP:0012762; HP:0012766; HP:0030048; HP:0100279; HP:0001773; HP:0002079; HP:0002118; HP:0002119; HP:0002120; HP:0000166; HP:0000252; HP:0000280; HP:0000294; HP:0000322; HP:0000336; HP:0000403; HP:0000545; HP:0100559; HP:0100633; HP:0200055; HP:0006808; HP:0006855; HP:0007979; HP:0008166; HP:0009622; HP:0010314; HP:0010864; HP:0011108; HP:0011185; HP:0011198; HP:0001257; HP:0001269; HP:0001273; HP:0001297; HP:0001298; HP:0001317	ROGDI
UDN052220	HP:0001324; HP:0012443; HP:0012486; HP:0012747; HP:0100561	ABCA2
UDN536461	HP:0011800; HP:0012412; HP:0012750; HP:0012753; HP:0001733; HP:0001845; HP:0002019; HP:0002020; HP:0002059; HP:0002079; HP:0002093; HP:0002119; HP:0002208; HP:0002307; HP:0002373; HP:0002376; HP:0002500; HP:0001252; HP:0001263; HP:0001332; HP:0001344; HP:0001508; HP:0001510; HP:0000574; HP:0000577; HP:0000664; HP:0000684; HP:0000766; HP:0000822; HP:0004322; HP:0006280; HP:0006323; HP:0006480; HP:0006528; HP:0008504; HP:0008751; HP:0008754; HP:0009765; HP:0011231; HP:0011471; HP:0000179; HP:0000238; HP:0000252; HP:0000294; HP:0000303; HP:0000522	POLR3A
UDN842574	HP:0000565; HP:0000666; HP:0000733; HP:0000750; HP:0000925; HP:0000940; HP:0001176; HP:0001250; HP:0002194; HP:0002312; HP:0002403; HP:0002761; HP:0001256; HP:0001290; HP:0001317; HP:0001332; HP:0001337; HP:0001513; HP:0006855; HP:0008598; HP:0010794; HP:0010800; HP:0010862; HP:0011098; HP:0011180; HP:0011302; HP:0011350; HP:0002979; HP:0003115; HP:0004324; HP:0005616; HP:0005791; HP:0001763; HP:0001833; HP:0002066; HP:0012708; HP:0012725; HP:0012745; HP:0030257; HP:0100267; HP:0000098; HP:0000252; HP:0000256; HP:0000400	SDHA
UDN209802	HP:0001263; HP:0001290; HP:0001344; HP:0001513; HP:0000540; HP:0000565; HP:0000579; HP:0004322	FBXO11
UDN118745	HP:0000252; HP:0000407; HP:0100543; HP:0004322; HP:0011096	CLPP
UDN527842	HP:0001290; HP:0003474; HP:0001765; HP:0002066; HP:0007057; HP:0002194; HP:0002403; HP:0002527; HP:0002870	MT-ATP6
UDN998168	HP:0008480; HP:0002917; HP:0003394; HP:0003419; HP:0002141; HP:0002300; HP:0002360; HP:0002527; HP:0002900; HP:0001257	MT-TI
UDN369801	HP:0001250; HP:0001252; HP:0001263; HP:0001344; HP:0001385; HP:0033454; HP:0100704; HP:0000252; HP:0002361; HP:0002376	CLDN5
UDN454712	HP:0100785; HP:0000256; HP:0001344; HP:0007018; HP:0000717; HP:0000718; HP:0001249; HP:0001250	RHOBTB2
UDN382668	HP:0000408; HP:0000495; HP:0000988	ATL3
UDN560985	HP:0001763; HP:0002019; HP:0002020; HP:0000297; HP:0000307; HP:0000316; HP:0000483; HP:0000520; HP:0000545; HP:0005616; HP:0000586; HP:0000639; HP:0001249; HP:0002539; HP:0001250; HP:0001252; HP:0001263; HP:0001508; HP:0012762; HP:0025097; HP:0010465	RAC3
UDN564032	HP:0007018; HP:0008587; HP:0011343; HP:0001290; HP:0001336; HP:0001508; HP:0001763; HP:0002099; HP:0002947; HP:0003198; HP:0003199; HP:0003326; HP:0003388; HP:0003394; HP:0002354; HP:0011822; HP:0012046; HP:0100033; HP:0000160; HP:0000248; HP:0000252; HP:0000321; HP:0000369; HP:0000418; HP:0000483; HP:0000545	NSD2
UDN579271	HP:0001649; HP:0001880; HP:0002020; HP:0002036; HP:0002094; HP:0002099; HP:0001433; HP:0000587; HP:0001107; HP:0012432; HP:0012531; HP:0012532; HP:0040088; HP:0040115; HP:0003077; HP:0003193; HP:0003237; HP:0004313; HP:0004942; HP:0002625; HP:0002633; HP:0002850; HP:0007499; HP:0007894; HP:0010829; HP:0010976; HP:0011108; HP:0011109; HP:0100582; HP:0100633; HP:0100750; HP:0000403; HP:0000545	IFIH1
UDN891779	HP:0000692; HP:0000716; HP:0000739; HP:0000768; HP:0000858; HP:0001028; HP:0001166; HP:0001319; HP:0001382; HP:0001763; HP:0002036; HP:0000473; HP:0012146; HP:0002315; HP:0002578; HP:0002592; HP:0002751; HP:0002829; HP:0003298; HP:0003326; HP:0008770	EFEMP1
UDN813208	HP:0002031; HP:0003737; HP:0000486; HP:0000508; HP:0000565; HP:0001250; HP:0001252; HP:0001263; HP:0001276; HP:0001344; HP:0001508; HP:0002267; HP:0002376; HP:0002540	NALCN
UDN071969	HP:0012736; HP:0000571; HP:0000774; HP:0000168; HP:0000218; HP:0000252; HP:0001272; HP:0001290; HP:0001308; HP:0001324; HP:0001591; HP:0007178; HP:0009909; HP:0003199; HP:0004453; HP:0002522; HP:0002870; HP:0002878; HP:0001601; HP:0001773; HP:0002015; HP:0002091; HP:0200055	AGTPBP1
UDN983367	HP:0002171; HP:0010535; HP:0011001; HP:0011069; HP:0000365; HP:0000540; HP:0003034; HP:0003565; HP:0004330; HP:0001508; HP:0012532; HP:0100252; HP:0100774; HP:0410018; HP:0000822; HP:0000846	TGFB1
UDN659903	HP:0001882; HP:0001888; HP:0000750; HP:0008250; HP:0004313	RPA1
UDN754812	HP:0001319; HP:0011968; HP:0025331; HP:0100027; HP:0004322; HP:0000648; HP:0001249; HP:0007911; HP:0011342; HP:0001747; HP:0001988; HP:0000154; HP:0000316; HP:0000347; HP:0000431; HP:0000494; HP:0000506	RALA
UDN756775	HP:0007911; HP:0009077; HP:0001601; HP:0001290; HP:0001319; HP:0030211; HP:0000467; HP:0000544; HP:0000597; HP:0003388; HP:0003473; HP:0003701	COLQ
UDN008634	HP:0001845; HP:0002002; HP:0002126; HP:0010864; HP:0011120; HP:0001252; HP:0001274; HP:0002208; HP:0002650; HP:0012721; HP:0000011; HP:0000047; HP:0000218; HP:0000256; HP:0000280; HP:0000286; HP:0000294; HP:0000303; HP:0000337; HP:0000349; HP:0000365; HP:0000445; HP:0000463; HP:0000518; HP:0000545; HP:0000691; HP:0001081; HP:0001212; HP:0001250; HP:0005280	GDF11
UDN351701	HP:0002076; HP:0001332; HP:0100543	TH
UDN318113	HP:0001738; HP:0001903; HP:0001943; HP:0002014; HP:0002015; HP:0002020; HP:0002104; HP:0002540; HP:0002705; HP:0002804; HP:0001263; HP:0001290; HP:0001344; HP:0001385; HP:0001508; HP:0004322; HP:0000028; HP:0000045; HP:0000054; HP:0000160; HP:0000252; HP:0000278; HP:0000322; HP:0000341; HP:0000347; HP:0000430; HP:0000470; HP:0000486; HP:0000490; HP:0000717; HP:0000742; HP:0000824; HP:0007021; HP:0030084; HP:0040075	MADD
UDN483758	HP:0002342; HP:0002373; HP:0000252; HP:0000322; HP:0001263; HP:0006863; HP:0007018; HP:0011098; HP:0011352; HP:0001773; HP:0012683; HP:0020119; HP:0040261; HP:0000565; HP:0000736	TNPO2
